unique,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
1,01-01-2011 00:00,1,0,0,1,9.84,14.395,81,0,3,13,16
2,01-01-2011 01:00,1,0,0,1,9.02,13.635,80,0,8,32,40
3,01-01-2011 02:00,1,0,0,1,9.02,13.635,80,0,5,27,32
4,01-01-2011 03:00,1,0,0,1,9.84,14.395,75,0,3,10,13
5,01-01-2011 04:00,1,0,0,1,9.84,14.395,75,0,0,1,1
6,01-01-2011 05:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1
7,01-01-2011 06:00,1,0,0,1,9.02,13.635,80,0,2,0,2
8,01-01-2011 07:00,1,0,0,1,8.2,12.88,86,0,1,2,3
9,01-01-2011 08:00,1,0,0,1,9.84,14.395,75,0,1,7,8
10,01-01-2011 09:00,1,0,0,1,13.12,17.425,76,0,8,6,14
11,01-01-2011 10:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36
12,01-01-2011 11:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56
13,01-01-2011 12:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84
14,01-01-2011 13:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94
15,01-01-2011 14:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106
16,01-01-2011 15:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110
17,01-01-2011 16:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93
18,01-01-2011 17:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67
19,01-01-2011 18:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35
20,01-01-2011 19:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37
21,01-01-2011 20:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36
22,01-01-2011 21:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34
23,01-01-2011 22:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28
24,01-01-2011 23:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39
25,02-01-2011 00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17
26,02-01-2011 01:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17
27,02-01-2011 02:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9
28,02-01-2011 03:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6
29,02-01-2011 04:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3
30,02-01-2011 06:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2
31,02-01-2011 07:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1
32,02-01-2011 08:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8
33,02-01-2011 09:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20
34,02-01-2011 10:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53
35,02-01-2011 11:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70
36,02-01-2011 12:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93
37,02-01-2011 13:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75
38,02-01-2011 14:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59
39,02-01-2011 15:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74
